pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
761,0,741,268.4783,3.2241911787172723,0.29824243596530003,2.9960,8.9717,8.8988,8.4642,19.0081,58.521404,37.09705756774666,-8.09318534856741,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
220,1277,740,268.1159,6.623606539819692,0.40906421930806064,3.0135,8.8865,8.7027,8.7527,18.4527,58.537635,37.097513238351034,-8.091764223302434,1,0.1351,0,0.0000,1,0.1351,0,0.0000,0,0.0000,0,0.0000
163,0,702,254.3478,21.812125013764426,0.7089378686032743,2.9957,8.2151,8.1866,8.3433,17.6382,54.989031,37.0893616258931,-8.104347245211372,0,0.0000,0,0.0000,1,0.1425,0,0.0000,0,0.0000,0,0.0000
30,779,699,253.2609,20.54454680607895,0.800184436195739,3.0057,7.9514,7.9142,8.3619,16.5622,53.838856,37.09218629939211,-8.101188680629123,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
588,0,692,250.7246,6.12205098698594,0.5036566863643985,3.0058,7.4104,7.2832,7.6329,15.7153,49.614726,37.09080465564172,-8.145082595210162,0,0.0000,0,0.0000,2,0.2890,0,0.0000,0,0.0000,0,0.0000
190,1214,691,250.3623,11.64916775488819,0.7866792340268276,2.9986,7.6397,7.9436,7.3473,16.9132,50.956802,37.09071946463719,-8.102155123836006,0,0.0000,0,0.0000,1,0.1447,1,0.1447,0,0.0000,0,0.0000
219,0,664,240.5797,56.51130291496415,0.7905868326863611,3.0075,9.4187,9.4367,9.1747,19.7259,62.289277,37.0866020466339,-8.100202026497966,1,0.1506,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
262,1370,638,231.1594,38.180996474801184,0.9908659016731017,3.0078,7.5815,7.1661,7.2915,15.5204,48.975815,37.09363160858815,-8.10080320816316,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
777,0,616,223.1884,3.3992862767320338,0.3008105447379553,2.9951,7.5162,7.5097,7.3701,15.2890,49.769205,37.10465248733262,-8.096658604312688,2,0.3247,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.3247
275,631,615,222.8261,61.35025870470497,1.2997238231868278,2.9870,9.3024,8.8992,9.0016,18.8862,60.451642,37.096051492673574,-8.095141666221313,1,0.1626,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
