pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
353,908,533,193.1159,2.3001408942085715,0.6050772808953476,2.9962,7.3865,7.4390,7.4972,15.7974,49.606023,41.299809771491105,-7.737847471580678,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
751,0,509,184.4203,4.206822036760027,0.3034734761960849,3.0000,7.6090,7.5383,7.7250,16.4597,50.827367,41.29429576230352,-7.730165801457714,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
234,941,504,182.6087,74.87111459595273,1.4152042352820773,2.9980,7.9325,8.1032,8.1012,17.2004,53.637619,41.29730313773936,-7.736353937266617,1,0.1984,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1984
667,0,502,181.8841,13.84918258218996,0.5983121723777824,3.0060,8.4363,9.0359,8.6315,19.1693,58.007908,41.299186232351516,-7.736295143199628,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
275,631,484,175.3623,60.78131349650656,1.2927339737346064,2.9979,8.1219,8.3306,8.0413,16.9649,54.430434,41.299146269048656,-7.7379507743906455,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
204,1244,467,169.2029,7.287470277678022,0.6037290793797702,2.9872,7.6124,7.5782,7.8908,16.0642,51.29182,41.30216909963395,-7.746102558346017,0,0.0000,0,0.0000,3,0.6424,0,0.0000,0,0.0000,0,0.0000
454,0,459,166.3043,44.57036165578173,1.2936810590083303,3.0022,9.1264,9.2985,9.0022,19.5033,60.948693,41.298275589025664,-7.735743063429855,1,0.2179,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
28,53,445,161.2319,31.184329517235916,1.0109837865561584,3.0067,8.2225,8.4427,8.4270,17.5483,55.760382,41.299593457130726,-7.737859874399465,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
171,0,438,158.6957,23.08888438535393,1.193196493277856,3.0069,8.0845,8.2169,7.7466,16.9498,53.439954,41.29968390208952,-7.7385303769835705,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
919,0,423,153.2609,1.0186010317669973,0.19893893227861834,2.9929,8.0426,7.9645,8.2719,16.7683,53.953121,41.29848821647956,-7.7359467597926415,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
616,0,408,147.8261,8.082162756298919,0.40487070487816745,3.0147,7.9191,7.7255,7.7181,15.8554,51.917132,41.29659953693633,-7.740197327714571,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
111,846,407,147.4638,120.09544893393195,1.0075360897027346,3.0025,8.5700,8.6437,8.5504,18.7297,57.253931,41.294531499709926,-7.738379529644191,0,0.0000,0,0.0000,1,0.2457,0,0.0000,0,0.0000,0,0.0000
328,746,397,143.8406,15.403640533938553,0.7130995377747698,3.0152,8.6524,8.5239,8.8489,17.4307,57.833703,41.300445750985766,-7.736665493614838,1,0.2519,0,0.0000,1,0.2519,0,0.0000,1,0.2519,0,0.0000
739,0,396,143.4783,7.186824055563045,0.6009091774874097,2.9772,8.1768,8.4066,8.5000,18.6035,55.740631,41.29911446187251,-7.736729229439956,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.2525,0,0.0000
605,0,394,142.7536,9.434343114154029,0.5070989787123585,3.0000,7.4695,7.5482,7.2081,15.6599,49.390812,41.297758544531696,-7.737326216304759,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
195,1229,391,141.6667,77.53944446368095,1.4085360108277736,2.9974,8.4092,8.1944,8.3990,17.1560,55.561356,41.29885398705088,-7.737928607095421,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
218,0,381,138.0435,37.174666610517,0.7183240694435018,3.0079,8.0945,7.9580,8.1942,17.6667,53.881417,41.29831613944045,-7.736493792832914,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.2625,0,0.0000
280,292,377,136.5942,6.7283971135749105,0.407461368397313,2.9947,8.6154,8.6976,9.1194,17.7958,58.738753,41.29832712323701,-7.737281356093042,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
159,1139,376,136.2319,25.26009785715739,1.081043791770935,2.9973,7.7394,7.7660,7.5745,15.4947,51.288484,41.2979599409237,-7.735980282026683,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.5319
432,0,376,136.2319,45.19475401814778,1.0035396168231963,2.9840,7.8218,7.8191,8.1888,17.7527,52.955053,41.29941477037641,-7.736212526675008,0,0.0000,1,0.2660,0,0.0000,0,0.0000,0,0.0000,0,0.0000
603,0,367,132.9710,22.888715568960528,1.2062302564921443,3.0000,7.6785,7.5095,8.1035,16.3869,51.758747,41.29844304700495,-7.735677152931636,1,0.2725,0,0.0000,0,0.0000,0,0.0000,1,0.2725,0,0.0000
