pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
197,0,33316,6192.5651,15.4229,50.225683,10,0.0300,8,0.0240,0,0.0000,1,0.0030,7,0.0210,10,0.0300
221,1280,33312,6191.8216,17.0382,54.082681,13,0.0390,10,0.0300,0,0.0000,4,0.0120,9,0.0270,11,0.0330
286,0,33206,6172.1190,18.4220,57.596993,16,0.0482,4,0.0120,0,0.0000,2,0.0060,5,0.0151,2,0.0060
196,0,33147,6161.1524,16.5449,53.005247,9,0.0272,5,0.0151,0,0.0000,4,0.0121,3,0.0091,7,0.0211
570,0,32823,6100.9294,15.4635,50.063054,8,0.0244,8,0.0244,64,0.1950,6,0.0183,5,0.0152,6,0.0183
339,0,32349,6012.8253,17.8965,56.579387,11,0.0340,3,0.0093,60,0.1855,6,0.0185,2,0.0062,0,0.0000
543,0,31089,5778.6245,17.6227,55.783811,13,0.0418,1,0.0032,72,0.2316,9,0.0289,3,0.0096,4,0.0129
104,224,30787,5722.4907,17.7029,56.089423,12,0.0390,3,0.0097,51,0.1657,4,0.0130,2,0.0065,0,0.0000
529,0,29481,5479.7398,17.6214,55.730592,13,0.0441,6,0.0204,59,0.2001,4,0.0136,24,0.0814,2,0.0068
698,0,28657,5326.5799,16.9323,53.780956,5,0.0174,4,0.0140,55,0.1919,5,0.0174,14,0.0489,4,0.0140
343,0,28606,5317.1004,19.0759,59.845043,13,0.0454,1,0.0035,59,0.2063,5,0.0175,3,0.0105,0,0.0000
765,0,28527,5302.4164,17.4112,55.235839,5,0.0175,8,0.0280,50,0.1753,1,0.0035,5,0.0175,6,0.0210
397,1661,28282,5256.8773,17.4754,55.171649,6,0.0212,7,0.0248,0,0.0000,2,0.0071,8,0.0283,8,0.0283
204,1244,27271,5068.9591,15.8400,50.543661,10,0.0367,7,0.0257,418,1.5328,1,0.0037,8,0.0293,12,0.0440
696,0,27131,5042.9368,18.8949,59.086892,13,0.0479,1,0.0037,56,0.2064,3,0.0111,4,0.0147,1,0.0037
347,1574,27012,5020.8178,17.0394,53.992295,7,0.0259,6,0.0222,64,0.2369,1,0.0037,6,0.0222,1,0.0037
53,65,26968,5012.6394,16.3028,52.281238,6,0.0222,8,0.0297,0,0.0000,2,0.0074,5,0.0185,0,0.0000
123,247,25762,4788.4758,17.4570,55.188168,9,0.0349,4,0.0155,406,1.5760,0,0.0000,7,0.0272,3,0.0116
704,0,24318,4520.0743,17.0801,54.272556,12,0.0493,3,0.0123,29,0.1193,3,0.0123,7,0.0288,3,0.0123
93,0,24012,4463.1970,17.5099,55.335008,9,0.0375,4,0.0167,0,0.0000,2,0.0083,4,0.0167,5,0.0208
428,0,23852,4433.4572,16.8645,53.69934,14,0.0587,3,0.0126,212,0.8888,1,0.0042,7,0.0293,4,0.0168
354,911,23612,4388.8476,15.4357,49.935317,8,0.0339,5,0.0212,177,0.7496,3,0.0127,3,0.0127,8,0.0339
143,199,21610,4016.7286,16.8288,53.314403,8,0.0370,7,0.0324,34,0.1573,2,0.0093,2,0.0093,3,0.0139
782,0,21192,3939.0335,17.1637,54.546857,4,0.0189,0,0.0000,0,0.0000,2,0.0094,5,0.0236,2,0.0094
302,923,20852,3875.8364,15.5292,50.003651,1,0.0048,4,0.0192,166,0.7961,6,0.0288,9,0.0432,0,0.0000
26,49,19047,3540.3346,15.8088,50.708143,9,0.0473,5,0.0263,0,0.0000,1,0.0053,2,0.0105,14,0.0735
507,0,18757,3486.4312,16.7152,53.426881,6,0.0320,6,0.0320,0,0.0000,0,0.0000,4,0.0213,1,0.0053
422,96,16773,3117.6580,15.6592,50.205722,6,0.0358,1,0.0060,34,0.2027,3,0.0179,8,0.0477,3,0.0179
669,2614,16097,2992.0074,16.5732,52.583731,5,0.0311,1,0.0062,0,0.0000,8,0.0497,6,0.0373,5,0.0311
185,0,15711,2920.2602,16.4609,52.624526,4,0.0255,2,0.0127,27,0.1719,1,0.0064,0,0.0000,4,0.0255
79,1017,15551,2890.5204,17.2519,54.811891,6,0.0386,4,0.0257,38,0.2444,2,0.0129,3,0.0193,6,0.0386
118,0,14630,2719.3309,15.6607,50.389005,2,0.0137,7,0.0478,36,0.2461,2,0.0137,5,0.0342,2,0.0137
20,47,14602,2714.1264,16.8705,53.567694,3,0.0205,2,0.0137,0,0.0000,4,0.0274,4,0.0274,0,0.0000
113,0,14586,2711.1524,16.8189,53.501047,4,0.0274,2,0.0137,230,1.5769,2,0.0137,5,0.0343,4,0.0274
124,0,14209,2641.0781,17.7278,55.75844,4,0.0282,2,0.0141,29,0.2041,0,0.0000,1,0.0070,0,0.0000
207,803,13655,2538.1041,18.9520,59.444391,6,0.0439,1,0.0073,218,1.5965,3,0.0220,2,0.0146,1,0.0073
54,286,13074,2430.1115,15.6069,50.438195,5,0.0382,4,0.0306,24,0.1836,4,0.0306,2,0.0153,7,0.0535
281,295,13010,2418.2156,18.6885,58.403271,4,0.0307,2,0.0154,2,0.0154,1,0.0077,1,0.0077,1,0.0077
200,719,12687,2358.1784,15.6222,50.537319,2,0.0158,2,0.0158,28,0.2207,1,0.0079,5,0.0394,4,0.0315
375,767,12297,2285.6877,16.5544,52.748022,2,0.0163,3,0.0244,0,0.0000,0,0.0000,1,0.0081,1,0.0081
971,0,12294,2285.1301,15.4859,50.164096,4,0.0325,0,0.0000,0,0.0000,3,0.0244,0,0.0000,2,0.0163
318,734,12104,2249.8141,15.6328,49.968021,3,0.0248,0,0.0000,21,0.1735,3,0.0248,2,0.0165,3,0.0248
168,0,12044,2238.6617,17.6223,55.760184,5,0.0415,2,0.0166,0,0.0000,1,0.0083,3,0.0249,0,0.0000
631,0,11199,2081.5985,17.4273,54.790776,5,0.0446,5,0.0446,18,0.1607,0,0.0000,0,0.0000,2,0.0179
